observation_time,no2_concentration,temperature,humidity,wind_speed,wind_direction,pressure
2025-07-17 18:00:00,9.0,32.0,77.0,8.0,90.0,995.0
2025-07-17 19:00:00,9.0,31.0,78.0,5.0,135.0,996.0
2025-07-17 20:00:00,10.0,31.0,78.0,10.0,180.0,996.0
2025-07-17 21:00:00,9.0,31.0,80.0,8.0,225.0,996.0
2025-07-17 22:00:00,14.0,31.0,81.0,5.0,225.0,997.0
2025-07-17 23:00:00,16.0,30.0,81.0,7.0,225.0,997.0
2025-07-18 00:00:00,16.0,30.0,81.0,9.0,225.0,996.0
2025-07-18 01:00:00,16.0,30.0,83.0,9.0,225.0,996.0
2025-07-18 02:00:00,15.0,30.0,84.0,13.0,225.0,995.0
2025-07-18 03:00:00,12.0,30.0,84.0,15.0,225.0,995.0
2025-07-18 04:00:00,11.0,30.0,85.0,6.0,180.0,995.0
2025-07-18 05:00:00,12.0,30.0,85.0,12.0,225.0,995.0
2025-07-18 06:00:00,12.0,30.0,86.0,8.0,225.0,996.0
2025-07-18 07:00:00,11.0,30.0,86.0,5.0,270.0,995.0
2025-07-18 08:00:00,9.0,31.0,84.0,6.0,315.0,996.0
2025-07-18 09:00:00,10.0,32.0,79.0,5.0,225.0,995.0
2025-07-18 10:00:00,10.0,34.0,71.0,7.0,270.0,995.0
2025-07-18 11:00:00,10.0,33.0,77.0,17.0,90.0,995.0
2025-07-18 12:00:00,10.0,29.0,92.0,17.0,90.0,995.0
2025-07-18 13:00:00,13.0,27.0,94.0,12.0,45.0,994.0
2025-07-18 14:00:00,12.0,26.0,93.0,3.0,315.0,994.0
2025-07-18 15:00:00,15.0,27.0,94.0,14.0,225.0,994.0
2025-07-18 16:00:00,17.0,27.0,91.0,7.0,225.0,993.0
2025-07-18 17:00:00,14.0,26.0,91.0,12.0,225.0,992.0
2025-07-18 18:00:00,13.0,27.0,91.0,13.0,225.0,992.0
2025-07-18 19:00:00,12.0,27.0,90.0,23.0,270.0,993.0
2025-07-18 20:00:00,14.0,27.0,79.0,7.0,0.0,993.0
2025-07-18 21:00:00,15.0,27.0,75.0,5.0,225.0,993.0
2025-07-18 22:00:00,16.0,27.0,73.0,6.0,0.0,994.0
2025-07-18 23:00:00,18.0,27.0,75.0,9.0,315.0,993.0
